,panel_name,total_loan_amt,9in10yr_loan_amt,9in100yr_loan_amt,21in10yr_loan_amt,21in100yr_loan_amt
417,"QUICKEN LOANS, INC.",345239,497.0,10049.0,17359.0,25500.0
418,QUINCY CU,5688,0.0,0.0,1460.0,1460.0
419,QUONTIC BK FSB,320,0.0,0.0,0.0,0.0
420,QUORUM FCU,1378,0.0,988.0,1378.0,1378.0
421,RADIUS BK,19828,0.0,0.0,0.0,1280.0
422,RADIUS FINANCIAL GROUP INC.,58830,0.0,2572.0,3458.0,5703.0
423,RANDOLPH SVG BK,56795,0.0,764.0,4904.0,5431.0
424,RAYMOND JAMES BK NA,888,0.0,535.0,535.0,535.0
425,RBC BK GA NA,350,0.0,0.0,0.0,0.0
426,READING CO-OP BK,6894,0.0,0.0,0.0,1115.0
427,REDWOOD RESIDENTIAL ACQ,1456,0.0,0.0,0.0,0.0
428,REGENCY MORTGAGE CORP.,1348,0.0,0.0,0.0,0.0
429,REPUBLIC STATE MORTGAGE,355,0.0,0.0,0.0,0.0
430,RESIDENTIAL MORTGAGE SERVICES,284560,962.0,12384.0,23234.0,29437.0
431,"RESMAC, INC.",3706,0.0,0.0,0.0,0.0
432,REVERSE MORTGAGE FUNDING LLC,238,0.0,0.0,0.0,0.0
433,RHODE ISLAND CU,125,0.0,0.0,0.0,0.0
434,RIVER WKS CU,12426,0.0,1068.0,1870.0,3444.0
435,ROCKLAND FCU,12630,0.0,125.0,780.0,780.0
436,ROCKLAND TC,176467,0.0,3175.0,5208.0,10365.0
437,ROCKVILLE BK,3140,0.0,0.0,0.0,1305.0
438,ROLLSTONE B&T,480,0.0,0.0,0.0,0.0
439,ROSS MORTGAGE COMPANY,1668,0.0,0.0,0.0,0.0
440,ROUNDPOINT MORTGAGE COMPANY,3497,0.0,368.0,618.0,618.0
441,RTN FCU,17286,0.0,0.0,15.0,50.0
442,S-BK,2033,0.0,0.0,0.0,0.0
443,SAGE BK,117200,412.0,2777.0,7806.0,14343.0
444,SAINT MARYS CU,1622,0.0,0.0,0.0,0.0
445,SALEM CO-OP BK,501,0.0,0.0,0.0,0.0
446,SALEM FIVE CENTS SVG BK,32102,0.0,0.0,1775.0,2225.0
447,"SALEM FIVE MORTGAGE CO., LLC",189003,0.0,13064.0,18306.0,29833.0
448,SALISBURY B&TC,451,0.0,0.0,0.0,0.0
449,SANTANDER BK NA,338364,469.0,17632.0,26941.0,41304.0
450,SAVINGS BK,8714,0.0,470.0,470.0,1753.0
451,SCHAEFER MORTGAGE CORP.,1889,0.0,0.0,0.0,0.0
452,SCITUATE FSB,5007,0.0,484.0,1114.0,1114.0
