,census_tract_number,9in10yr,9in100yr,21in10yr,21in100yr,fema100yr
60,4004.0,0.0,0.0,0.0,0.0,0.0
61,4033.0,0.0,0.0,0.0,0.0,0.0
62,4143.0,0.0,0.0,0.0,0.0,0.0
63,4422.02,0.0,0.0,0.0,0.0,0.0
64,4103.0,0.0,0.0,0.0,0.0,0.0
65,4061.02,0.0,0.0,0.0,0.0,0.0
66,4061.01,0.0,0.0,0.0,0.0,0.0
67,4202.01,0.0,0.0,0.0,0.0,0.0
68,4563.02,0.0,0.0,0.0,0.0,0.0
69,4142.0,0.0,0.0,0.0,0.0,0.0
70,4021.02,0.0,0.0,0.0,0.0,0.0
71,4151.02,0.0,0.0,0.0,0.0,0.0
72,4133.0,0.0,0.0,0.0,0.0,0.0
73,4131.0,0.0,0.0,0.0,0.0,0.0
74,4034.0,0.0,0.0,0.0,0.0,0.0
75,4031.0,0.0,0.0,0.0,0.0,0.0
76,4161.01,0.0,0.0,0.0,0.0,0.0
77,4564.01,0.0,0.0,0.0,0.0,0.0
78,4025.0,0.0,0.0,0.0,0.0,0.0
79,4081.02,0.0,0.0,0.0,0.0,0.0
80,4132.0,0.0,0.0,0.0,0.0,0.0
81,4151.01,0.0,0.0,0.0,0.0,0.0
82,4035.0,0.0,0.0,0.0,0.0,0.0
83,4177.01,0.0,0.0,0.0,0.0,0.0
84,4202.02,0.0,0.0,0.0,0.0,0.0
85,4021.01,0.0,0.0,0.0,0.0,0.0
86,4023.0,0.0,0.0,0.0,0.0,0.0
87,4192.0,0.0,0.0,0.0,0.0,0.0
88,4571.0,0.0,0.0,0.0,0.0,0.0
89,4022.0,0.0,0.0,0.0,0.0,0.0
90,4164.0,0.0,0.0,0.0,0.0,0.0
91,4222.0,0.0,0.0,0.0,0.0,0.0
92,4042.02,0.0,0.0,0.0,0.0,0.0
93,4191.0,0.0,0.0,0.0,0.0,0.0
94,4161.02,0.0,0.0,0.0,0.0,0.0
95,4563.01,0.0,0.0,0.0,0.0,0.0
96,4203.02,0.0,0.0,0.0,0.0,0.0
97,4401.0,0.0,0.0,0.0,0.0,0.0
98,4421.01,0.0,0.0,0.0,0.0,0.0
99,4412.02,0.0,0.0,0.0,0.0,0.0
100,4197.0,0.0,0.0,0.0,0.0,0.0
101,4009.0,0.0,0.0,0.0,0.0,0.0
102,4135.0,0.0,0.0,0.0,0.0,0.0
103,4412.03,0.0,0.0,0.0,0.0,0.0
104,4562.0,0.0,0.0,0.0,0.0,0.0
105,4198.0,0.0,0.0,0.0,0.0,0.0
106,4228.0,0.0,0.0,0.0,0.0,0.0
107,4225.01,0.0,0.0,0.0,0.0,0.0
108,4113.02,0.0,0.0,0.0,0.0,0.0
109,4226.0,0.0,0.0,0.0,0.0,0.0
110,4180.04,0.0,0.0,0.0,0.0,0.0
111,4194.0,0.0,0.0,0.0,0.0,0.0
112,4201.0,0.0,0.0,0.0,0.0,0.0
113,4223.01,0.0,0.0,0.0,0.0,0.0
114,4211.0,0.0,0.0,0.0,0.0,0.0
115,4412.04,0.0,0.0,0.0,0.0,0.0
116,4177.02,0.0,0.0,0.0,0.0,0.0
117,4002.0,0.0,0.0,0.0,0.0,0.0
118,4180.03,0.0,0.0,0.0,0.0,0.0
119,4152.0,0.0,0.0,0.0,0.0,0.0
120,4178.01,0.0,0.0,0.0,0.0,0.0
121,4041.0,0.0,0.0,0.0,0.0,0.0
122,4044.0,0.0,0.0,0.0,0.0,0.0
123,4134.02,0.0,0.0,0.0,0.0,0.0
124,4181.02,0.0,0.0,0.0,0.0,0.0
125,4182.0,0.0,0.0,0.0,0.0,0.0
126,4193.0,0.0,0.0,0.0,0.0,0.0
127,4123.0,0.0,0.0,0.0,0.0,0.0
128,4178.02,0.0,0.0,0.0,0.0,0.0
129,4174.0,0.0,0.0,0.0,0.0,0.0
130,5401.03,0.0,0.0,0.0,0.0,0.0
131,5011.02,0.0,0.0,0.0,0.0,0.0
132,5105.02,0.0,0.0,0.0,0.0,0.0
133,5304.0,0.0,0.0,0.0,0.0,0.0
134,5113.02,0.0,0.0,0.0,0.0,0.0
135,5081.01,0.0,0.0,0.0,0.0,0.0
136,5021.02,0.0,0.0,0.0,0.0,0.0
137,5232.02,0.0,0.0,0.0,0.0,0.0
138,5221.02,0.0,0.0,0.0,0.0,0.0
139,5308.01,0.0,0.0,0.0,0.0,0.0
140,5261.0,0.0,0.0,0.0,0.0,0.0
141,5401.02,0.0,0.0,0.0,0.0,0.0
142,5091.02,0.0,0.0,0.0,0.0,0.0
143,5104.0,0.0,0.0,0.0,0.0,0.0
144,5202.02,0.0,0.0,0.0,0.0,0.0
