,panel_name,loan_amount,actualshare,expectedshare,delta
79,SIERRA PACIFIC MORTGAGE,682,0.0058405912528153876,0.002923172355536017,0.0029174188972793703
80,"STEARNS LENDING, INC.",268,0.0022951297005198296,0.0066287519145610645,-0.004333622214041235
81,STEPSTONE MORTGAGE COMPANY,205,0.00175560294256181,4.027993403297661e-05,0.0017153230085288334
82,STONEHAMBK,192,0.0016442720242530124,0.0007939157560698808,0.0008503562681831315
83,T D BK NA,375,0.003211468797369165,0.004318061239937733,-0.0011065924425685677
84,UNIBANK FOR SVG,164,0.001404482354049448,0.0007190055410890724,0.0006854768129603756
85,UNION YES FCU,2098,0.017967097431681355,0.040149189900777794,-0.02218209246909644
86,UNITED BK,424,0.0036311007202254023,0.0013375204935062645,0.0022935802267191377
87,UNITED SHORE FINANCIAL SERVICE,718,0.006148892257362828,0.007256316774235016,-0.0011074245168721884
88,VILLAGE MORTGAGE COMPANY,498,0.004264830562906251,0.0017394130993902664,0.0025254174635159846
89,WAKEFIELD CO-OP BK,129,0.0011047452662949926,0.0004719552790201493,0.0006327899872748434
90,WASHINGTON TR MTG CO LLC,322,0.0027575812073409893,0.00765850581253398,-0.00490092460519299
91,WELLESLEY BK,209,0.0017898586097337477,0.0053289480865584046,-0.0035390894768246566
92,WELLS FARGO BK NA,17211,0.1473935719240552,0.03650751768297823,0.11088605424107696
93,WINTER HILL BK,110,0.0009420308472282883,0.0007655628674388767,0.00017646797978941163
