,census_tract_number,panel_name,loan_amount,rank
1351,104.03,JPMORGAN CHASE BK NA,1977,7.0
1364,104.03,UNION YES FCU,1815,8.0
1362,104.03,SANTANDER BK NA,1403,9.0
1352,104.03,LOANDEPOT.COM,1375,10.0
1388,104.04,FIRST NIAGARA BK NA,43600,1.0
1392,104.04,JPMORGAN CHASE BK NA,8717,2.0
1402,104.04,RANDOLPH SVG BK,5267,3.0
1407,104.04,WASHINGTON TR MTG CO LLC,4069,4.0
1371,104.04,BANK OF AMER NA,2846,5.0
1387,104.04,"FBC MORTGAGE, LLC",2844,6.0
1389,104.04,GUARANTEED RATE INC.,2250,7.0
1378,104.04,CAMBRIDGE TC,2108,8.0
1375,104.04,BELMONT SVG BK,2000,9.0
1395,104.04,MORGAN STANLEY PRIV BK NA,1618,10.0
1417,104.05,EASTERN BK,15900,1.0
1414,104.05,CAPITAL ONE NA,9400,2.0
1419,104.05,"FBC MORTGAGE, LLC",3320,3.0
1436,104.05,UNITED BK,1402,4.0
1421,104.05,GUARANTEED RATE INC.,1306,5.0
1430,104.05,"NORTHEAST HOME LOAN, LLC",1022,6.0
1411,104.05,BLUE HILLS BK,932,7.0
1418,104.05,FAIRWAY INDP MORTGAGE CORP,525,8.0
1431,104.05,"OCWEN LOAN SERVICING, LLC",479,9.0
1416,104.05,EAST BOSTON SVG BK,473,10.0
1454,104.08,"MORTGAGE NETWORK, INC",2403,1.0
1444,104.08,COMMERCE B&TC,1300,2.0
1460,104.08,PEOPLES UNITED BK,1233,3.0
1463,104.08,RESIDENTIAL MORTGAGE SERVICES,1063,4.0
1459,104.08,"OCWEN LOAN SERVICING, LLC",863,5.0
1461,104.08,"POLI MORTGAGE GROUP, INC",790,6.0
1448,104.08,FIRST REPUBLIC BK,698,7.0
1458,104.08,NORTHERN B&TC,665,8.0
1446,104.08,FAIRWAY INDP MORTGAGE CORP,488,9.0
1457,104.08,"NORTHEAST HOME LOAN, LLC",456,10.0
1512,105.0,WELLS FARGO BK NA,50624,1.0
1468,105.0,BANK OF AMER NA,6746,2.0
1485,105.0,JPMORGAN CHASE BK NA,5429,3.0
1475,105.0,CAMBRIDGE SVG BK,4342,4.0
1494,105.0,NEEDHAM BK,3800,5.0
1472,105.0,BOSTON PRIVATE B&TC,2810,6.0
1495,105.0,PATRIOT COMNTY BK,2282,7.0
1503,105.0,SANTANDER BK NA,2100,8.0
1481,105.0,FIRST NIAGARA BK NA,1684,9.0
1491,105.0,MORGAN STANLEY PRIV BK NA,1600,10.0
1572,106.0,WELLS FARGO BK NA,94470,1.0
1533,106.0,FIRST REPUBLIC BK,26709,2.0
1526,106.0,EAST BOSTON SAVINGS BANK,13918,3.0
1515,106.0,BANK OF AMER NA,9950,4.0
1519,106.0,BOSTON PRIVATE B&TC,8313,5.0
1545,106.0,MUTUALONE BK,8200,6.0
1518,106.0,BNY MELLON NA,4600,7.0
1566,106.0,T D BK NA,4053,8.0
1568,106.0,UNION YES FCU,3149,9.0
1565,106.0,STONEHAMBK,2909,10.0
1604,107.01,FIRST REPUBLIC BK,35917,1.0
1582,107.01,BOSTON PRIVATE B&TC,21542,2.0
1598,107.01,EASTERN BK,15000,3.0
1607,107.01,HINGHAM INST FOR SVG,9325,4.0
1575,107.01,BANK OF AMER NA,9165,5.0
1618,107.01,NEEDHAM BK,8620,6.0
1591,107.01,CLINTON SVG BK,7630,7.0
1641,107.01,WELLS FARGO BK NA,5931,8.0
1610,107.01,JPMORGAN CHASE BK NA,5758,9.0
1622,107.01,PEOPLES UNITED BK NA,4951,10.0
1643,107.02,BANK OF AMER NA,36655,1.0
1672,107.02,FIRST REPUBLIC BK,36419,2.0
1688,107.02,MOUNTAINONE BK,10755,3.0
1679,107.02,JPMORGAN CHASE BK NA,9778,4.0
1705,107.02,ROCKLAND TC,8000,5.0
1648,107.02,BNY MELLON NA,7753,6.0
1662,107.02,COMERICA BK,7268,7.0
1707,107.02,"SALEM FIVE MORTGAGE CO., LLC",6913,8.0
1712,107.02,UNION YES FCU,6540,9.0
1649,107.02,BOSTON PRIVATE B&TC,5700,10.0
1751,108.01,FIRST REPUBLIC BK,58550,1.0
1722,108.01,BANK OF AMER NA,15821,2.0
1757,108.01,JPMORGAN CHASE BK NA,12014,3.0
1731,108.01,BROOKLINE BK,11883,4.0
1804,108.01,WELLS FARGO BK NA,11817,5.0
1728,108.01,BNY MELLON NA,11386,6.0
1803,108.01,WELLESLEY BK,7756,7.0
1736,108.01,CITIBANK NA,7380,8.0
1764,108.01,MIDDLESEX SVG BK,6874,9.0
1730,108.01,BOSTON PRIVATE B&TC,6704,10.0
1834,108.02,FIRST REPUBLIC BK,45215,1.0
1839,108.02,HINGHAM INST FOR SVG,30647,2.0
1806,108.02,BANK OF AMER NA,22330,3.0
1812,108.02,BROOKLINE BK,18600,4.0
1842,108.02,JPMORGAN CHASE BK NA,14328,5.0
1811,108.02,BOSTON PRIVATE B&TC,14046,6.0
1836,108.02,GOLDMAN SACHS BK USA,10703,7.0
1813,108.02,CAMBRIDGE SVG BK,9217,8.0
1874,108.02,UNION YES FCU,8850,9.0
1830,108.02,EASTERN BK,8355,10.0
1918,201.01,FIRST REPUBLIC BK,85703,1.0
1927,201.01,JPMORGAN CHASE BK NA,38211,2.0
1885,201.01,BANK OF AMER NA,33385,3.0
1892,201.01,BOSTON PRIVATE B&TC,33276,4.0
1972,201.01,WELLS FARGO BK NA,22795,5.0
1901,201.01,CITIBANK NA,17748,6.0
1923,201.01,HINGHAM INST FOR SVG,17422,7.0
1919,201.01,GOLDMAN SACHS BK USA,15525,8.0
1896,201.01,CAMBRIDGE TC,12063,9.0
1966,201.01,UNION YES FCU,10551,10.0
2017,202.0,FIRST REPUBLIC BK,12318,1.0
1977,202.0,BANK OF AMER NA,9571,2.0
2047,202.0,PEOPLES UNITED BK,9511,3.0
2066,202.0,"WALKER & DUNLOP, LLC",8848,4.0
1986,202.0,BOSTON PRIVATE B&TC,8791,5.0
2071,202.0,WELLS FARGO BK NA,8114,6.0
2064,202.0,UNION YES FCU,6340,7.0
1989,202.0,BROOKLINE BK,5985,8.0
2005,202.0,DEDHAM INST FOR SVG,5225,9.0
2026,202.0,JPMORGAN CHASE BK NA,5132,10.0
2075,203.01,BANK OF AMER NA,1752,1.0
2081,203.01,CAMBRIDGE TC,1440,2.0
2094,203.01,NORTHERN B&TC,1242,3.0
2088,203.01,GUARANTEED RATE INC.,1191,4.0
2082,203.01,CITIBANK NA,1064,5.0
2079,203.01,BOSTON PRIVATE B&TC,960,6.0
2106,203.01,WELLS FARGO BK NA,769,7.0
2077,203.01,BARRINGTON B&TC NA,703,8.0
2103,203.01,WASHINGTON TR MTG CO LLC,649,9.0
2102,203.01,"STEARNS LENDING, INC.",601,10.0
2127,203.02,FIRST REPUBLIC BK,11452,1.0
2131,203.02,HINGHAM INST FOR SVG,10623,2.0
2123,203.02,EASTERN BK,6592,3.0
2160,203.02,WEBSTER BK NA,4738,4.0
2121,203.02,COOPERATIVE BK,3800,5.0
2156,203.02,UNION YES FCU,3555,6.0
2145,203.02,PEOPLES UNITED BK NA,3120,7.0
2162,203.02,WELLS FARGO BK NA,3110,8.0
2115,203.02,BROOKLINE BK,2798,9.0
2158,203.02,VILLAGE BK,2520,10.0
2184,203.03,FIRST REPUBLIC BK,5658,1.0
2174,203.03,CITIBANK NA,4881,2.0
2165,203.03,BANK OF AMER NA,3585,3.0
2192,203.03,LOANDEPOT.COM,3573,4.0
2186,203.03,GUARANTEED RATE INC.,3213,5.0
2209,203.03,SANTANDER BK NA,1923,6.0
2196,203.03,"MORTGAGE MASTER, INC.",1686,7.0
2168,203.03,BERKSHIRE BK,1529,8.0
2216,203.03,WELLS FARGO BK NA,1388,9.0
2191,203.03,JPMORGAN CHASE BK NA,1270,10.0
2236,301.0,EAST BOSTON SVG BK,6687,1.0
2246,301.0,FIRST REPUBLIC BK,6663,2.0
2221,301.0,BERKSHIRE BK,5477,3.0
2250,301.0,HINGHAM INST FOR SVG,5186,4.0
2248,301.0,GUARANTEED RATE INC.,4025,5.0
2252,301.0,JPMORGAN CHASE BK NA,3754,6.0
2271,301.0,"SALEM FIVE MORTGAGE CO., LLC",3443,7.0
2253,301.0,LOANDEPOT.COM,3048,8.0
2285,301.0,WEBSTER FIVE CENTS SVG BK,2850,9.0
2232,301.0,DIGITAL FCU,2726,10.0
2316,302.0,JPMORGAN CHASE BK NA,18432,1.0
2298,302.0,CENTURY B&TC,4947,2.0
2303,302.0,DIGITAL FCU,4610,3.0
2311,302.0,GUARANTEED RATE INC.,3406,4.0
2345,302.0,WELLS FARGO BK NA,2531,5.0
2341,302.0,UNION YES FCU,2511,6.0
2323,302.0,MSA MORTGAGE LLC,1746,7.0
2300,302.0,CITIZENS BK NA,1733,8.0
2339,302.0,SANTANDER BK NA,1674,9.0
2327,302.0,NORTHMARK BK,1627,10.0
2380,303.0,EAST BOSTON SVG BK,45639,1.0
2394,303.0,FIRST REPUBLIC BK,22745,2.0
2452,303.0,WELLS FARGO BK NA,9616,3.0
2444,303.0,UNION YES FCU,8102,4.0
2401,303.0,JPMORGAN CHASE BK NA,7097,5.0
2437,303.0,SANTANDER BK NA,6246,6.0
2395,303.0,GUARANTEED RATE INC.,5588,7.0
2436,303.0,"SALEM FIVE MORTGAGE CO., LLC",5274,8.0
2403,303.0,LOANDEPOT.COM,4550,9.0
2424,303.0,PEOPLES UNITED BK,4258,10.0
2476,304.0,EAST BOSTON SAVINGS BANK,16864,1.0
2477,304.0,EAST BOSTON SVG BK,12757,2.0
2473,304.0,DIGITAL FCU,10178,3.0
2493,304.0,JPMORGAN CHASE BK NA,6864,4.0
2463,304.0,BROOKLINE BK,6158,5.0
2490,304.0,HARBORONE BK,4500,6.0
2489,304.0,GUARANTEED RATE INC.,3773,7.0
2478,304.0,EAST CAMBRIDGE SVG BK,2911,8.0
2467,304.0,CENTURY B&TC,2836,9.0
2532,304.0,WELLS FARGO BK NA,2700,10.0
2580,305.0,JPMORGAN CHASE BK NA,36682,1.0
2570,305.0,FIRST REPUBLIC BK,27405,2.0
2544,305.0,BOSTON PRIVATE B&TC,27353,3.0
2561,305.0,EAST BOSTON SAVINGS BANK,17525,4.0
2563,305.0,EASTERN BK,8137,5.0
2622,305.0,WELLS FARGO BK NA,7894,6.0
2573,305.0,GUARANTEED RATE INC.,7717,7.0
2562,305.0,EAST CAMBRIDGE SVG BK,6120,8.0
2592,305.0,MSA MORTGAGE LLC,4477,9.0
2536,305.0,BANK OF AMER NA,4468,10.0
2664,401.0,FIRST REPUBLIC BK,14834,1.0
2674,401.0,JPMORGAN CHASE BK NA,11787,2.0
2669,401.0,GUARANTEED RATE INC.,11159,3.0
2705,401.0,"PROSPECT MORTGAGE, LLC",8714,4.0
2715,401.0,UNION YES FCU,8580,5.0
2723,401.0,WELLS FARGO BK NA,6075,6.0
2675,401.0,LOANDEPOT.COM,5992,7.0
2721,401.0,WEBSTER BK NA,5022,8.0
2629,401.0,BANK OF AMER NA,4783,9.0
2648,401.0,COOPERATIVE BK,4330,10.0
2753,402.0,JPMORGAN CHASE BK NA,5071,1.0
