,census_tract_number,panel_name,loan_amount,rank
7460,910.01,WELLS FARGO BK NA,4036,3.0
7412,910.01,LOANDEPOT.COM,3760,4.0
7414,910.01,MEETINGHOUSE BK,3276,5.0
7436,910.01,"QUICKEN LOANS, INC.",3142,6.0
7446,910.01,SANTANDER BK NA,3132,7.0
7408,910.01,HINGHAM INST FOR SVG,2700,8.0
7375,910.01,BLUE HILLS BK,2397,9.0
7419,910.01,"MORTGAGE NETWORK, INC",2396,10.0
7510,911.0,GUARANTEED RATE INC.,11930,1.0
7536,911.0,MOUNTAINONE BK,6959,2.0
7560,911.0,"QUICKEN LOANS, INC.",6632,3.0
7502,911.0,FAIRWAY INDP MORTGAGE CORP,5903,4.0
7520,911.0,LOANDEPOT.COM,5565,5.0
7575,911.0,UNION YES FCU,4255,6.0
7469,911.0,BANK OF CANTON,4130,7.0
7559,911.0,"PROSPECT MORTGAGE, LLC",3847,8.0
7568,911.0,SANTANDER BK NA,3504,9.0
7537,911.0,MSA MORTGAGE LLC,3128,10.0
7612,912.0,EASTERN BK,20446,1.0
7620,912.0,GUARANTEED RATE INC.,6727,2.0
7637,912.0,MOUNTAINONE BK,4568,3.0
7613,912.0,FAIRWAY INDP MORTGAGE CORP,3686,4.0
7627,912.0,LOANDEPOT.COM,3284,5.0
7653,912.0,"QUICKEN LOANS, INC.",3277,6.0
7635,912.0,"MORTGAGE NETWORK, INC",3249,7.0
7655,912.0,RESIDENTIAL MORTGAGE SERVICES,3211,8.0
7611,912.0,EAST CAMBRIDGE SVG BK,2950,9.0
7659,912.0,UNION YES FCU,2949,10.0
7683,913.0,EASTERN BK,17000,1.0
7672,913.0,BEVERLY CO-OP BK,2197,2.0
7693,913.0,LOANDEPOT.COM,1805,3.0
7707,913.0,RESIDENTIAL MORTGAGE SERVICES,1207,4.0
7686,913.0,"FBC MORTGAGE, LLC",1173,5.0
7666,913.0,AMERICAN NEIGHBORHOOD MORTGAGE,1041,6.0
7680,913.0,DIGITAL FCU,992,7.0
7673,913.0,BLUE HILLS BK,946,8.0
7668,913.0,BANK OF AMER NA,673,9.0
7711,913.0,SANTANDER BK NA,666,10.0
7741,914.0,METRO CU,2144,1.0
7757,914.0,ROCKLAND TC,1861,2.0
7763,914.0,UNION YES FCU,1710,3.0
7731,914.0,FIRST REPUBLIC BK,1364,4.0
7754,914.0,"QUICKEN LOANS, INC.",1179,5.0
7737,914.0,LOANDEPOT.COM,1125,6.0
7760,914.0,SANTANDER BK NA,1033,7.0
7719,914.0,BANK OF AMER NA,883,8.0
7728,914.0,EASTERN BK,723,9.0
7729,914.0,FIRST COMMONS BK NA,720,10.0
7796,915.0,GUARANTEED RATE INC.,7383,1.0
7774,915.0,CAMBRIDGE SVG BK,6457,2.0
7804,915.0,LOANDEPOT.COM,3853,3.0
7787,915.0,FAIRWAY INDP MORTGAGE CORP,3425,4.0
7842,915.0,UNION YES FCU,3068,5.0
7846,915.0,WELLS FARGO BK NA,2415,6.0
7827,915.0,"PROSPECT MORTGAGE, LLC",2265,7.0
7828,915.0,"QUICKEN LOANS, INC.",2242,8.0
7803,915.0,JPMORGAN CHASE BK NA,1767,9.0
7785,915.0,EASTERN BK,1756,10.0
7908,916.0,SANTANDER BK NA,4377,1.0
7871,916.0,GUARANTEED RATE INC.,2707,2.0
7878,916.0,MANSFIELD CO-OP BK,2582,3.0
7902,916.0,RESIDENTIAL MORTGAGE SERVICES,2150,4.0
7879,916.0,MEETINGHOUSE BK,1920,5.0
7864,916.0,"FBC MORTGAGE, LLC",1829,6.0
7860,916.0,EAST BOSTON SVG BK,1732,7.0
7866,916.0,FIRST COMMONS BK NA,1710,8.0
7877,916.0,LOANDEPOT.COM,1611,9.0
7863,916.0,FAIRWAY INDP MORTGAGE CORP,1505,10.0
7954,917.0,SANTANDER BK NA,2955,1.0
7940,917.0,LOANDEPOT.COM,2492,2.0
7931,917.0,FAIRWAY INDP MORTGAGE CORP,1915,3.0
7956,917.0,UNION YES FCU,1744,4.0
7949,917.0,"PROSPECT MORTGAGE, LLC",1476,5.0
7917,917.0,BANK OF AMER NA,1449,6.0
7950,917.0,"QUICKEN LOANS, INC.",1446,7.0
7937,917.0,GUARANTEED RATE INC.,1403,8.0
7952,917.0,RESIDENTIAL MORTGAGE SERVICES,1291,9.0
7960,917.0,WELLS FARGO BK NA,991,10.0
8001,918.0,NEEDHAM BK,2295,1.0
8017,918.0,SANTANDER BK NA,2266,2.0
7987,918.0,GUARANTEED RATE INC.,2125,3.0
7983,918.0,FREEDOM MORTGAGE CORPORATION,1963,4.0
8013,918.0,"QUICKEN LOANS, INC.",1582,5.0
8015,918.0,ROCKLAND TC,1425,6.0
7972,918.0,DEDHAM INST FOR SVG,1350,7.0
8014,918.0,RESIDENTIAL MORTGAGE SERVICES,1205,8.0
8005,918.0,NORCOM MORTGAGE,1124,9.0
8020,918.0,UNITED SHORE FINANCIAL SERVICE,1015,10.0
8050,919.0,INSTITUTION SVG IN NEWBURYPORT,4327,1.0
8037,919.0,EASTERN BK,2083,2.0
8041,919.0,FIRST COMMONS BK NA,1681,3.0
8079,919.0,SANTANDER BK NA,1331,4.0
8047,919.0,GUARANTEED RATE INC.,1197,5.0
8060,919.0,"MORTGAGE RESEARCH CENTER, LLC",1180,6.0
8027,919.0,"CALIBER HOME LOANS, INC.",958,7.0
8071,919.0,"PROSPECT MORTGAGE, LLC",854,8.0
8063,919.0,NEW FED MORTGAGE CORP,849,9.0
8046,919.0,GMH MORTGAGE SERVICES LLC,835,10.0
8151,920.0,"QUICKEN LOANS, INC.",3412,1.0
8159,920.0,SANTANDER BK NA,2979,2.0
8113,920.0,FIRST COMMONS BK NA,2865,3.0
8154,920.0,RESIDENTIAL MORTGAGE SERVICES,2006,4.0
8104,920.0,EAST BOSTON SVG BK,1880,5.0
8167,920.0,WELLS FARGO BK NA,1816,6.0
8094,920.0,CITIBANK NA,1793,7.0
8131,920.0,MEETINGHOUSE BK,1713,8.0
8150,920.0,"PROSPECT MORTGAGE, LLC",1654,9.0
8095,920.0,CITIZENS BK NA,1591,10.0
8223,921.01,GUARANTEED RATE INC.,10384,1.0
8230,921.01,LOANDEPOT.COM,5873,2.0
8274,921.01,SANTANDER BK NA,5641,3.0
8268,921.01,RESIDENTIAL MORTGAGE SERVICES,5372,4.0
8210,921.01,FAIRWAY INDP MORTGAGE CORP,5208,5.0
8233,921.01,MEETINGHOUSE BK,4830,6.0
8264,921.01,"QUICKEN LOANS, INC.",4662,7.0
8225,921.01,HINGHAM INST FOR SVG,4100,8.0
8262,921.01,"PROSPECT MORTGAGE, LLC",3737,9.0
8173,921.01,BANK OF AMER NA,3591,10.0
8323,922.0,GUARANTEED RATE INC.,6526,1.0
8348,922.0,"QUICKEN LOANS, INC.",3823,2.0
8364,922.0,UNION YES FCU,2878,3.0
8315,922.0,FAIRWAY INDP MORTGAGE CORP,2293,4.0
8292,922.0,BARRINGTON B&TC NA,2038,5.0
8330,922.0,MEETINGHOUSE BK,2011,6.0
8347,922.0,"PROSPECT MORTGAGE, LLC",1882,7.0
8351,922.0,RESIDENTIAL MORTGAGE SERVICES,1683,8.0
8357,922.0,SANTANDER BK NA,1652,9.0
8336,922.0,MSA MORTGAGE LLC,1613,10.0
8417,923.0,SANTANDER BK NA,3234,1.0
8415,923.0,RESIDENTIAL MORTGAGE SERVICES,1935,2.0
8372,923.0,BANK OF CANTON,1260,3.0
8371,923.0,BANK OF AMER NA,1192,4.0
8420,923.0,UNION YES FCU,1125,5.0
8384,923.0,FAIRWAY INDP MORTGAGE CORP,1084,6.0
8413,923.0,"QUICKEN LOANS, INC.",1028,7.0
8392,923.0,HINGHAM INST FOR SVG,1000,8.0
8402,923.0,MID-ISLAND MORTGAGE CORP.,960,9.0
8373,923.0,BLUE HILLS BK,946,10.0
8484,924.0,"WALKER & DUNLOP, LLC",5393,1.0
8463,924.0,NEEDHAM BK,3592,2.0
8485,924.0,WEBSTER BK NA,2546,3.0
8479,924.0,SANTANDER BK NA,1774,4.0
8428,924.0,CITIZENS BK NA,1534,5.0
8454,924.0,JPMORGAN CHASE BK NA,1500,6.0
8451,924.0,HINGHAM INST FOR SVG,1440,7.0
8438,924.0,FAIRWAY INDP MORTGAGE CORP,1417,8.0
8427,924.0,CITIBANK NA,1328,9.0
8471,924.0,"PLAZA HOME MORTGAGE, INC.",1288,10.0
8529,1001.0,"PLAZA HOME MORTGAGE, INC.",2562,1.0
8540,1001.0,SANTANDER BK NA,2242,2.0
8535,1001.0,"QUICKEN LOANS, INC.",2035,3.0
8533,1001.0,"PROSPECT MORTGAGE, LLC",1966,4.0
8489,1001.0,BANK OF AMER NA,1879,5.0
8545,1001.0,WELLS FARGO BK NA,1803,6.0
8496,1001.0,CITIZENS BK NA,1784,7.0
8490,1001.0,BLUE HILLS BK,1744,8.0
8495,1001.0,CITIBANK NA,1619,9.0
8542,1001.0,UNION YES FCU,1561,10.0
8579,1002.0,"QUICKEN LOANS, INC.",1670,1.0
8584,1002.0,SOUTH SHORE BK,1650,2.0
8583,1002.0,SANTANDER BK NA,1410,3.0
8588,1002.0,WELLS FARGO BK NA,1298,4.0
8578,1002.0,"PROSPECT MORTGAGE, LLC",1198,5.0
8560,1002.0,FIRST HOME MORTGAGE CORPORATIO,1029,6.0
8574,1002.0,NORTHEAST CMNTY BK,998,7.0
8557,1002.0,EASTERN BK,927,8.0
8569,1002.0,MID-ISLAND MORTGAGE CORP.,882,9.0
8566,1002.0,LOANDEPOT.COM,706,10.0
8650,1003.0,"QUICKEN LOANS, INC.",3035,1.0
8636,1003.0,NEEDHAM BK,2426,2.0
8649,1003.0,"PROSPECT MORTGAGE, LLC",2233,3.0
8658,1003.0,SANTANDER BK NA,1487,4.0
8652,1003.0,RESIDENTIAL MORTGAGE SERVICES,1456,5.0
8597,1003.0,CITIBANK NA,1314,6.0
8608,1003.0,EASTERN BK,1304,7.0
8663,1003.0,WELLS FARGO BK NA,1212,8.0
8639,1003.0,NORWOOD CO-OP BK,1100,9.0
8641,1003.0,PACIFIC UNION FINANCIAL LLC,1056,10.0
8708,1004.0,JPMORGAN CHASE BK NA,5931,1.0
8721,1004.0,NEEDHAM BK,4772,2.0
8694,1004.0,FAIRWAY INDP MORTGAGE CORP,4401,3.0
8733,1004.0,"QUICKEN LOANS, INC.",3924,4.0
8739,1004.0,SANTANDER BK NA,3786,5.0
8734,1004.0,RADIUS FINANCIAL GROUP INC.,2445,6.0
8741,1004.0,UNION YES FCU,2349,7.0
8746,1004.0,WELLS FARGO BK NA,2328,8.0
8665,1004.0,BANK OF AMER NA,2069,9.0
8703,1004.0,GUARANTEED RATE INC.,2022,10.0
8755,1005.0,BOSTON PRIVATE B&TC,9440,1.0
8823,1005.0,ROCKLAND TC,7718,2.0
8796,1005.0,LOANDEPOT.COM,5901,3.0
8771,1005.0,EAST BOSTON SAVINGS BANK,5039,4.0
8774,1005.0,EASTERN BK,4675,5.0
8819,1005.0,"QUICKEN LOANS, INC.",4620,6.0
8788,1005.0,GUARANTEED RATE INC.,4494,7.0
8821,1005.0,RESIDENTIAL MORTGAGE SERVICES,4465,8.0
8842,1005.0,WELLS FARGO BK NA,4145,9.0
8839,1005.0,"WALKER & DUNLOP, LLC",4086,10.0
8900,1006.01,GUARANTEED RATE INC.,11581,1.0
8909,1006.01,LOANDEPOT.COM,7428,2.0
8885,1006.01,FAIRWAY INDP MORTGAGE CORP,5635,3.0
8952,1006.01,SANTANDER BK NA,4037,4.0
8946,1006.01,RESIDENTIAL MORTGAGE SERVICES,3987,5.0
8942,1006.01,"QUICKEN LOANS, INC.",3383,6.0
8962,1006.01,UNION YES FCU,2889,7.0
8969,1006.01,WELLS FARGO BK NA,2849,8.0
8881,1006.01,EASTERN BK,2797,9.0
8911,1006.01,MEETINGHOUSE BK,2793,10.0
9012,1006.03,GUARANTEED RATE INC.,9649,1.0
9062,1006.03,UNION YES FCU,5145,2.0
8974,1006.03,BANK OF CANTON,4010,3.0
8976,1006.03,BELMONT SVG BK,3858,4.0
9051,1006.03,RESIDENTIAL MORTGAGE SERVICES,3643,5.0
9017,1006.03,LOANDEPOT.COM,3566,6.0
9000,1006.03,FAIRWAY INDP MORTGAGE CORP,3509,7.0
8980,1006.03,BOSTON FRFTRS CU,3254,8.0
9056,1006.03,SANTANDER BK NA,2652,9.0
9018,1006.03,MANSFIELD CO-OP BK,2325,10.0
9078,1007.0,BOSTON FRFTRS CU,11382,1.0
9127,1007.0,MEETINGHOUSE BK,8953,2.0
9140,1007.0,NEEDHAM BK,8775,3.0
9118,1007.0,GUARANTEED RATE INC.,8669,4.0
9107,1007.0,FAIRWAY INDP MORTGAGE CORP,7352,5.0
9160,1007.0,"QUICKEN LOANS, INC.",6593,6.0
9089,1007.0,CITY OF BOSTON CU,4619,7.0
9124,1007.0,LOANDEPOT.COM,4032,8.0
9177,1007.0,UNION YES FCU,3929,9.0
9129,1007.0,MEMBERS PLUS CU,3573,10.0
9249,1008.0,MEETINGHOUSE BK,12377,1.0
9283,1008.0,"QUICKEN LOANS, INC.",10850,2.0
9236,1008.0,GUARANTEED RATE INC.,10701,3.0
9303,1008.0,UNION YES FCU,10474,4.0
9225,1008.0,FAIRWAY INDP MORTGAGE CORP,7036,5.0
9246,1008.0,LOANDEPOT.COM,5304,6.0
9196,1008.0,BOSTON FRFTRS CU,4147,7.0
9244,1008.0,JPMORGAN CHASE BK NA,4119,8.0
9294,1008.0,SANTANDER BK NA,3701,9.0
9282,1008.0,"PROSPECT MORTGAGE, LLC",3088,10.0
9362,1009.0,GUARANTEED RATE INC.,16052,1.0
9322,1009.0,BOSTON PRIVATE B&TC,14922,2.0
9401,1009.0,"QUICKEN LOANS, INC.",5837,3.0
9409,1009.0,SANTANDER BK NA,5167,4.0
9422,1009.0,WELLS FARGO BK NA,3537,5.0
9372,1009.0,LOANDEPOT.COM,3195,6.0
9373,1009.0,MEETINGHOUSE BK,2930,7.0
9403,1009.0,RESIDENTIAL MORTGAGE SERVICES,2418,8.0
9408,1009.0,"SALEM FIVE MORTGAGE CO., LLC",2199,9.0
9314,1009.0,BANK OF AMER NA,2179,10.0
9449,1010.01,EAST CAMBRIDGE SVG BK,4200,1.0
9500,1010.01,"QUICKEN LOANS, INC.",4063,2.0
9471,1010.01,JPMORGAN CHASE BK NA,3632,3.0
9499,1010.01,"PROSPECT MORTGAGE, LLC",2692,4.0
9507,1010.01,SANTANDER BK NA,2150,5.0
9436,1010.01,CITIBANK NA,2139,6.0
9442,1010.01,COOPERATIVE BK,2000,7.0
9485,1010.01,NEEDHAM BK,1862,8.0
9463,1010.01,GUARANTEED RATE INC.,1660,9.0
9432,1010.01,BLUE HILLS BK,1639,10.0
9573,1010.02,PILGRIM BK,2530,1.0
9552,1010.02,GUARANTEED RATE INC.,2164,2.0
9589,1010.02,WELLS FARGO BK NA,1847,3.0
9541,1010.02,FAIRWAY INDP MORTGAGE CORP,1813,4.0
9523,1010.02,BLUE HILLS BK,1764,5.0
9584,1010.02,SANTANDER BK NA,1659,6.0
9578,1010.02,"QUICKEN LOANS, INC.",1652,7.0
9527,1010.02,CITIBANK NA,1570,8.0
9535,1010.02,DEDHAM INST FOR SVG,1525,9.0
9528,1010.02,CITIZENS BK NA,1509,10.0
9646,1011.01,STONEHAMBK,10000,1.0
9627,1011.01,NEEDHAM BK,3264,2.0
9615,1011.01,FIRST REPUBLIC BK,2256,3.0
9642,1011.01,ROCKLAND TC,2070,4.0
9596,1011.01,CITIBANK NA,1893,5.0
9611,1011.01,FAIRWAY INDP MORTGAGE CORP,1823,6.0
9597,1011.01,CITIZENS BK NA,1676,7.0
9607,1011.01,EASTERN BK,1662,8.0
9602,1011.01,DEDHAM INST FOR SVG,1473,9.0
9636,1011.01,PRIMARY RESIDENTIAL MORTGAGE,1370,10.0
9705,1011.02,ROCKLAND TC,6136,1.0
9686,1011.02,NEEDHAM BK,2856,2.0
9668,1011.02,EAST BOSTON SVG BK,2211,3.0
9669,1011.02,EASTERN BK,2100,4.0
9659,1011.02,CITIBANK NA,2088,5.0
9682,1011.02,LOANDEPOT.COM,1651,6.0
9715,1011.02,WELLS FARGO BK NA,1496,7.0
9689,1011.02,NORTHEAST CMNTY BK,1251,8.0
9678,1011.02,GUARANTEED RATE INC.,1193,9.0
9681,1011.02,JPMORGAN CHASE BK NA,1164,10.0
9767,1101.03,LOANDEPOT.COM,12219,1.0
9754,1101.03,GUARANTEED RATE INC.,10199,2.0
9807,1101.03,UNION YES FCU,9350,3.0
9719,1101.03,BANK OF CANTON,5007,4.0
9748,1101.03,FAIRWAY INDP MORTGAGE CORP,4748,5.0
9751,1101.03,FIRST REPUBLIC BK,4108,6.0
9792,1101.03,"PROSPECT MORTGAGE, LLC",4103,7.0
9793,1101.03,"QUICKEN LOANS, INC.",4043,8.0
9796,1101.03,RESIDENTIAL MORTGAGE SERVICES,3165,9.0
9785,1101.03,NORWOOD CO-OP BK,3164,10.0
9854,1102.01,NEEDHAM BK,2883,1.0
9862,1102.01,"QUICKEN LOANS, INC.",2518,2.0
9871,1102.01,UNION YES FCU,2359,3.0
9822,1102.01,BOSTON PRIVATE B&TC,2243,4.0
9821,1102.01,BLUE HILLS BK,1777,5.0
9850,1102.01,"MORTGAGE NETWORK, INC",1660,6.0
9837,1102.01,"FBC MORTGAGE, LLC",1600,7.0
9866,1102.01,SAGE BK,1441,8.0
9843,1102.01,LOANDEPOT.COM,1211,9.0
9861,1102.01,"PROSPECT MORTGAGE, LLC",1185,10.0
9961,1103.01,UNION YES FCU,6673,1.0
9937,1103.01,NEEDHAM BK,5120,2.0
9912,1103.01,GUARANTEED RATE INC.,4899,3.0
9921,1103.01,LOANDEPOT.COM,3719,4.0
9965,1103.01,WELLS FARGO BK NA,3441,5.0
9932,1103.01,"MORTGAGE NETWORK, INC",3191,6.0
9949,1103.01,"QUICKEN LOANS, INC.",3130,7.0
9898,1103.01,COOPERATIVE BK,2670,8.0
9880,1103.01,BANK OF AMER NA,2069,9.0
9906,1103.01,EASTERN BK,2032,10.0
10013,1104.01,GUARANTEED RATE INC.,5996,1.0
10051,1104.01,RESIDENTIAL MORTGAGE SERVICES,3950,2.0
9970,1104.01,BANK OF CANTON,3479,3.0
10001,1104.01,FAIRWAY INDP MORTGAGE CORP,3429,4.0
10022,1104.01,LOANDEPOT.COM,3146,5.0
10048,1104.01,"QUICKEN LOANS, INC.",2945,6.0
10047,1104.01,"PROSPECT MORTGAGE, LLC",2846,7.0
9991,1104.01,DEDHAM INST FOR SVG,2754,8.0
10061,1104.01,UNION YES FCU,2458,9.0
10025,1104.01,MEETINGHOUSE BK,2151,10.0
10115,1104.03,GUARANTEED RATE INC.,12451,1.0
10125,1104.03,LOANDEPOT.COM,8558,2.0
10171,1104.03,UNION YES FCU,6998,3.0
10151,1104.03,"QUICKEN LOANS, INC.",5892,4.0
10154,1104.03,RESIDENTIAL MORTGAGE SERVICES,4798,5.0
10100,1104.03,FAIRWAY INDP MORTGAGE CORP,4111,6.0
10150,1104.03,"PROSPECT MORTGAGE, LLC",3623,7.0
10069,1104.03,BANK OF AMER NA,3546,8.0
10082,1104.03,CITIZENS BK NA,3097,9.0
10070,1104.03,BANK OF CANTON,2941,10.0
10239,1105.01,LOANDEPOT.COM,7978,1.0
10283,1105.01,UNION YES FCU,7286,2.0
10229,1105.01,GUARANTEED RATE INC.,6698,3.0
10187,1105.01,BANK OF CANTON,5440,4.0
10275,1105.01,SAGE BK,4708,5.0
10227,1105.01,FREEDOM MORTGAGE CORPORATION,4596,6.0
10219,1105.01,FAIRWAY INDP MORTGAGE CORP,4389,7.0
10273,1105.01,RESIDENTIAL MORTGAGE SERVICES,4028,8.0
10269,1105.01,"PROSPECT MORTGAGE, LLC",3832,9.0
10270,1105.01,"QUICKEN LOANS, INC.",3784,10.0
10381,1105.02,ROCKLAND TC,19056,1.0
10331,1105.02,GUARANTEED RATE INC.,10049,2.0
10395,1105.02,UNION YES FCU,9837,3.0
10341,1105.02,LOANDEPOT.COM,5243,4.0
10293,1105.02,BANK OF AMER NA,4820,5.0
10378,1105.02,RESIDENTIAL MORTGAGE SERVICES,4797,6.0
10354,1105.02,"MORTGAGE NETWORK, INC",3916,7.0
10374,1105.02,"QUICKEN LOANS, INC.",3810,8.0
10339,1105.02,JPMORGAN CHASE BK NA,3749,9.0
10294,1105.02,BANK OF CANTON,3730,10.0
10468,1106.01,NEEDHAM BK,7364,1.0
10454,1106.01,LOANDEPOT.COM,5898,2.0
10488,1106.01,SANTANDER BK NA,5059,3.0
10493,1106.01,UNION YES FCU,3892,4.0
10487,1106.01,"SALEM FIVE MORTGAGE CO., LLC",3640,5.0
10407,1106.01,BANK OF AMER NA,3367,6.0
10447,1106.01,GUARANTEED RATE INC.,2837,7.0
10478,1106.01,"QUICKEN LOANS, INC.",2768,8.0
10429,1106.01,COOPERATIVE BK,2235,9.0
10482,1106.01,RESIDENTIAL MORTGAGE SERVICES,2052,10.0
10619,1106.07,UNION YES FCU,12752,1.0
10561,1106.07,LOANDEPOT.COM,11848,2.0
10554,1106.07,GUARANTEED RATE INC.,11465,3.0
10505,1106.07,BANK OF CANTON,11157,4.0
10528,1106.07,COOPERATIVE BK,6877,5.0
10628,1106.07,WELLS FARGO BK NA,6402,6.0
10605,1106.07,RESIDENTIAL MORTGAGE SERVICES,5929,7.0
10574,1106.07,"MORTGAGE NETWORK, INC",5796,8.0
10542,1106.07,FAIRWAY INDP MORTGAGE CORP,5627,9.0
10552,1106.07,GEORGETOWN BK,5607,10.0
10662,1201.03,JPMORGAN CHASE BK NA,8750,1.0
10658,1201.03,GUARANTEED RATE INC.,5083,2.0
10631,1201.03,BANK OF AMER NA,3749,3.0
10664,1201.03,LOANDEPOT.COM,3608,4.0
10690,1201.03,UNION YES FCU,2975,5.0
10693,1201.03,WELLS FARGO BK NA,2852,6.0
10634,1201.03,BLUE HILLS BK,2637,7.0
10650,1201.03,EAST CAMBRIDGE SVG BK,2611,8.0
10652,1201.03,EVERBANK,2305,9.0
10651,1201.03,EASTERN BK,2296,10.0
10733,1201.04,LOANDEPOT.COM,6782,1.0
10726,1201.04,GUARANTEED RATE INC.,6708,2.0
10771,1201.04,UNION YES FCU,5041,3.0
10722,1201.04,FIRST REPUBLIC BK,3642,4.0
10742,1201.04,"MORTGAGE MASTER, INC.",3311,5.0
10779,1201.04,WELLS FARGO BK NA,3243,6.0
10719,1201.04,FAIRWAY INDP MORTGAGE CORP,3047,7.0
10720,1201.04,"FBC MORTGAGE, LLC",2816,8.0
10744,1201.04,MSA MORTGAGE LLC,2563,9.0
10696,1201.04,BANK OF CANTON,2539,10.0
10822,1201.05,JPMORGAN CHASE BK NA,10753,1.0
10784,1201.05,BANK OF AMER NA,7842,2.0
10858,1201.05,UNION YES FCU,7647,3.0
10791,1201.05,BOSTON PRIVATE B&TC,6581,4.0
10825,1201.05,LOANDEPOT.COM,6367,5.0
10837,1201.05,NEEDHAM BK,4164,6.0
10863,1201.05,WELLS FARGO BK NA,3971,7.0
10790,1201.05,BLUE HILLS BK,3551,8.0
10862,1201.05,WEBSTER BK NA,3498,9.0
10789,1201.05,BERKSHIRE BK,3496,10.0
10958,1202.01,UNION YES FCU,14163,1.0
10905,1202.01,GUARANTEED RATE INC.,9480,2.0
10915,1202.01,LOANDEPOT.COM,8444,3.0
10942,1202.01,"PROSPECT MORTGAGE, LLC",6662,4.0
10906,1202.01,HABIB AMER BK,6000,5.0
10890,1202.01,DIGITAL FCU,4338,6.0
10925,1202.01,"MORTGAGE NETWORK, INC",4280,7.0
10908,1202.01,HINGHAM INST FOR SVG,3862,8.0
10911,1202.01,JPMORGAN CHASE BK NA,3329,9.0
10965,1202.01,WELLS FARGO BK NA,2847,10.0
11005,1203.01,GUARANTEED RATE INC.,13659,1.0
11014,1203.01,LOANDEPOT.COM,10069,2.0
11004,1203.01,FIRST REPUBLIC BK,9390,3.0
11059,1203.01,UNION YES FCU,8205,4.0
11042,1203.01,"PROSPECT MORTGAGE, LLC",6721,5.0
10989,1203.01,COOPERATIVE BK,6324,6.0
11024,1203.01,"MORTGAGE NETWORK, INC",6141,7.0
10971,1203.01,BANK OF CANTON,5317,8.0
10995,1203.01,EASTERN BK,5036,9.0
11011,1203.01,JPMORGAN CHASE BK NA,4186,10.0
11195,1204.0,UNION YES FCU,22172,1.0
11208,1204.0,WELLS FARGO BK NA,14286,2.0
11122,1204.0,GUARANTEED RATE INC.,12002,3.0
11134,1204.0,LOANDEPOT.COM,10496,4.0
11117,1204.0,FIRST REPUBLIC BK,9557,5.0
11132,1204.0,JPMORGAN CHASE BK NA,8847,6.0
11081,1204.0,BLUE HILLS BK,7504,7.0
11077,1204.0,BANK OF AMER NA,7096,8.0
11171,1204.0,"PROSPECT MORTGAGE, LLC",7010,9.0
11149,1204.0,"MORTGAGE NETWORK, INC",6291,10.0
11280,1205.0,UNION YES FCU,9501,1.0
11239,1205.0,FIRST REPUBLIC BK,9421,2.0
11241,1205.0,GUARANTEED RATE INC.,5501,3.0
11235,1205.0,FAIRWAY INDP MORTGAGE CORP,4111,4.0
11270,1205.0,"PROSPECT MORTGAGE, LLC",3362,5.0
11212,1205.0,BANK OF AMER NA,3262,6.0
11213,1205.0,BANK OF CANTON,2621,7.0
11248,1205.0,LOANDEPOT.COM,2550,8.0
11219,1205.0,BLUE HILLS BK,2093,9.0
11286,1205.0,WELLS FARGO BK NA,2051,10.0
11324,1206.0,LOANDEPOT.COM,6929,1.0
11358,1206.0,UNION YES FCU,6058,2.0
11317,1206.0,GUARANTEED RATE INC.,5862,3.0
11345,1206.0,RESIDENTIAL MORTGAGE SERVICES,4061,4.0
11322,1206.0,JPMORGAN CHASE BK NA,3989,5.0
11301,1206.0,CITIBANK NA,3556,6.0
11330,1206.0,"MORTGAGE MASTER, INC.",3244,7.0
11290,1206.0,BANK OF AMER NA,3115,8.0
11363,1206.0,WEBSTER BK NA,2992,9.0
11342,1206.0,"PROSPECT MORTGAGE, LLC",2656,10.0
11375,1207.0,BROOKLINE BK,13970,1.0
11430,1207.0,UNION YES FCU,5465,2.0
11389,1207.0,FIRST REPUBLIC BK,3962,3.0
11398,1207.0,LOANDEPOT.COM,2814,4.0
11420,1207.0,"PROSPECT MORTGAGE, LLC",2270,5.0
11428,1207.0,ST ANNES CU OF FALL RIVER,2200,6.0
11437,1207.0,WELLS FARGO BK NA,2125,7.0
11369,1207.0,BANK OF CANTON,2110,8.0
11392,1207.0,GUARANTEED RATE INC.,2012,9.0
11421,1207.0,"QUICKEN LOANS, INC.",1819,10.0
11506,1301.0,GUARANTEED RATE INC.,12802,1.0
11517,1301.0,LOANDEPOT.COM,10057,2.0
11568,1301.0,RESIDENTIAL MORTGAGE SERVICES,9912,3.0
11533,1301.0,"MORTGAGE NETWORK, INC",9719,4.0
11585,1301.0,UNION YES FCU,8239,5.0
11541,1301.0,NEEDHAM BK,7678,6.0
11489,1301.0,FAIRWAY INDP MORTGAGE CORP,7410,7.0
11566,1301.0,"QUICKEN LOANS, INC.",5337,8.0
11575,1301.0,SANTANDER BK NA,5139,9.0
11447,1301.0,BANK OF CANTON,5035,10.0
11667,1302.0,LOANDEPOT.COM,12083,1.0
11656,1302.0,GUARANTEED RATE INC.,10438,2.0
11685,1302.0,NEEDHAM BK,9359,3.0
11714,1302.0,UNION YES FCU,9147,4.0
11664,1302.0,JPMORGAN CHASE BK NA,6219,5.0
11697,1302.0,"QUICKEN LOANS, INC.",5878,6.0
11602,1302.0,BANK OF AMER NA,5032,7.0
11603,1302.0,BANK OF CANTON,4861,8.0
11704,1302.0,SAGE BK,4271,9.0
11642,1302.0,FAIRWAY INDP MORTGAGE CORP,4202,10.0
