panel_name,loan_amount,expectedshare
SHREWSBURY FCU,1138,1.9843534601527004e-05
TOP FLITE FINANCIAL,1131,1.972147419536647e-05
EQUITABLE CO-OP BK,1096,1.911117216456379e-05
GA BKG CO,1061,1.8500870133761118e-05
STC CAP BK,1052,1.834393532584043e-05
MIDCOUNTRY BK,1050,1.8309060924080275e-05
"ONE REVERSE MORTGAGE, LLC",1043,1.818700051791974e-05
ALERUS FNCL NA,1028,1.7925442504718593e-05
PROFICIO BK,1013,1.7663884491517446e-05
"URBAN FINANCIAL GROUP, INC.",1012,1.764644729063737e-05
CIT BK NA,1007,1.755926128623699e-05
TRIANGLE CU,1000,1.7437200880076454e-05
MUTUAL OMAHA BK,998,1.74023264783163e-05
RHODE ISLAND CU,987,1.721051726863546e-05
ALLCOM CU,980,1.7088456862474924e-05
SHARONVIEW FCU,951,1.6582778036952706e-05
RELIANT BK,946,1.6495592032552323e-05
TALMER B&TC,940,1.6390968827271867e-05
UNIVERSITY ISLAMIC FINANCIAL,908,1.5832978399109418e-05
BAC FL BK,903,1.5745792394709038e-05
LSI MORTGAGE PLUS,900,1.5693480792068807e-05
AMERICAN FINANCING CORPORATION,886,1.5449359979747736e-05
"UNIVERSAL AMERICAN MTG CO.,LLC",856,1.4926243953345444e-05
COLONIAL SVG FA,834,1.4542625533983762e-05
METROWEST CMNTY FCU,827,1.4420565127823226e-05
PRIME ALLI BK,825,1.4385690726063074e-05
FORT SILL NB,818,1.4263630319902539e-05
NCB FSB,800,1.3949760704061162e-05
CLEARVIEW FCU,800,1.3949760704061162e-05
MACHIAS SVG BK,795,1.386257469966078e-05
MARBLEHEAD BK,793,1.3827700297900627e-05
HOMEFIELD CREDIT UNION,780,1.3601016686459634e-05
MERIDIAN BK,779,1.3583579485579558e-05
HAMPDEN BK,765,1.3339458673258487e-05
HOMEFIELD CU,752,1.3112775061817492e-05
DELTA CMNTY CU,752,1.3112775061817492e-05
FARMERS B&TC,739,1.2886091450376499e-05
CHICOPEE SVG BK,730,1.2729156642455811e-05
OPTIMA B&TC,726,1.2659407838935506e-05
CONNECTICUT HOME MORTGAGE,721,1.2572221834535122e-05
ANDREWS FCU,702,1.224091501781367e-05
CHEMUNG CANAL TC,701,1.2223477816933594e-05
BANGOR SVG BK,689,1.2014231406372677e-05
DISCOVER BK,681,1.1874733799332065e-05
"FM HOME LOANS, LLC",665,1.159573858525084e-05
PATHFINDER BK,660,1.1508552580850459e-05
SIGNATURE BK NA,650,1.1334180572049694e-05
NASA FCU,640,1.115980856324893e-05
COMMONWEALTH UTILITIES EMPL CU,637,1.11074969606087e-05
ANHEUSER-BUSCH EMPL CU,633,1.1037748157088395e-05
MIDFIRST BK,629,1.096799935356809e-05
CONNEXUS CU,625,1.0898250550047784e-05
GORHAM SVG BK,620,1.08110645456474e-05
MORTGAGE SOLUTIONS OF COLORADO,617,1.0758752943007172e-05
MILLENNIUM BK,615,1.0723878541247018e-05
NATIONWIDE BK,607,1.0584380934206407e-05
CAMBRIDGE PORTUGUESE CU,601,1.0479757728925948e-05
SHINHAN BK AMER,600,1.0462320528045872e-05
PREFERRED BUSINESS EXCHANGE,599,1.0444883327165796e-05
BANK SNB,575,1.0026390506043961e-05
MWABANK,568,9.904330099883426e-06
AMERICAN MW BK,560,9.764832492842815e-06
NEXBANK SSB,560,9.764832492842815e-06
LEE BK,554,9.660209287562355e-06
"HOMESVCS LENDING LLC, SERIES A",540,9.416088475241284e-06
COUNTRYSIDE FCU,540,9.416088475241284e-06
NESC FCU,533,9.294028069080749e-06
GREAT LAKES CU,533,9.294028069080749e-06
JUSTICE FCU,525,9.154530462040137e-06
COMMUNITY ST BK OF MO,525,9.154530462040137e-06
CMNTY BK OAK PARK RIVER FOREST,523,9.119656060279985e-06
EDISON NB,523,9.119656060279985e-06
GREENFIELD CO-OP BK,523,9.119656060279985e-06
AMERICAN B&TC NA,512,8.927846850599144e-06
UNITED BANK MORTGAGE CORP,504,8.788349243558533e-06
SALEM CO-OP BK,501,8.736037640918303e-06
NOTRE DAME FCU,455,7.933926400434787e-06
SALISBURY B&TC,451,7.864177596914481e-06
FINEMARK NB&TC,444,7.742117190753946e-06
FLORIDA CAP BK NA,443,7.724679989873868e-06
BMI FCU,432,7.532870780193028e-06
WRIGHT PATMAN CONGRSSIONAL FCU,432,7.532870780193028e-06
TOWER FCU,430,7.497996378432875e-06
SECURITYNATIONAL MORTGAGE COMP,419,7.306187168752034e-06
BETHPAGE FCU,418,7.288749967871958e-06
"CORTRUST MORTGAGE, INC.",417,7.271312766991881e-06
FAIRFIELD CTY BK,417,7.271312766991881e-06
CARROLLTON BK,417,7.271312766991881e-06
SB1 FCU,417,7.271312766991881e-06
POLICE FCU,408,7.1143779590711925e-06
AFFILIATED MORTGAGE COMPANY,405,7.062066356430964e-06
COMMERCE BK,400,6.974880352030581e-06
BARRE SVG BK,395,6.887694347630199e-06
ADVANTAGE BK,390,6.800508343229817e-06
ALLIED FIRST BK SB,378,6.5912619326689e-06
BANK2,372,6.48663872738844e-06
UKRAINIAN SELFRELIANCE FCU,369,6.434327124748211e-06
JAMES B. NUTTER & COMPANY,367,6.3994527229880585e-06
FIRST COMMAND BK,365,6.364578321227906e-06
MILL CITY CU,364,6.347141120347829e-06
WAVE FCU,363,6.329703919467753e-06
IDB-IIC FCU,360,6.277392316827523e-06
QUAD CITY B&TC,350,6.103020308026759e-06
MILLBURY NB,350,6.103020308026759e-06
SCIENT FCU,350,6.103020308026759e-06
"CITIMORTGAGE, INC.",347,6.050708705386529e-06
FIRST EXCH BK,341,5.946085500106071e-06
IBERIABANK,335,5.841462294825612e-06
LOGIX FCU,335,5.841462294825612e-06
INTERNATIONAL BK OF CHICAGO,333,5.806587893065459e-06
CENT MTG CO D/B/A CENTURY LEND,326,5.684527486904924e-06
FARMERS BANK & TRUST,324,5.649653085144771e-06
GREYLOCK FCU,321,5.597341482504541e-06
QUONTIC BK FSB,320,5.579904281624465e-06
WILLAMETTE VALLEY BK,319,5.562467080744388e-06
DIME BK,318,5.545029879864312e-06
AMERICAN NATIONWIDE MORTGAGE C,315,5.492718277224083e-06
BANK OF SPRINGFIELD,310,5.4055322728237e-06
ARMED FORCES BK NA,300,5.231160264022936e-06
DEVON BK,300,5.231160264022936e-06
PACIFIC MERC BK,300,5.231160264022936e-06
BRIDGEVIEW BK GRP,298,5.196285862262783e-06
CONGRESSIONAL FCU,290,5.0567882552221715e-06
STANFORD FCU,288,5.021913853462019e-06
CNB MORTGAGE COMPANY,288,5.021913853462019e-06
NBT BK NA,280,4.882416246421407e-06
NATIONWIDE ADVANTAGE MORTGAGE,276,4.812667442901101e-06
MERIDIAN RESIDENTIAL CAPITAL,275,4.795230242021025e-06
NAPUS FCU,270,4.708044237620642e-06
GFA FCU,269,4.690607036740566e-06
SANFORD INST FOR SVG,266,4.6382954341003364e-06
FREEDOM NB,261,4.551109429699954e-06
SOUTHBRIDGE CU,259,4.516235027939801e-06
TOWNE MORTGAGE COMPANY,259,4.516235027939801e-06
NATIONAL GRAND BK OF MARBLEH,259,4.516235027939801e-06
EVERENCE FCU,254,4.429049023539419e-06
INDEPENDENT BK,250,4.359300220019114e-06
OAKSTAR BK,246,4.289551416498807e-06
"MORTGAGE SERVICES III, L.L.C.",243,4.237239813858578e-06
LAFAYETTE FCU,240,4.1849282112183485e-06
MERCHANTS BK,240,4.1849282112183485e-06
"LENDERLIVE NETWORK, INC.",229,3.993119001537507e-06
UNITED ST SENATE EMPL FCU,227,3.9582445997773545e-06
NRL FCU,225,3.923370198017202e-06
1ST CONSTITUTION BK,224,3.905932997137126e-06
BURKE & HERBERT B&TC,223,3.888495796257049e-06
SAVINGS INST BK & TR CO,222,3.871058595376973e-06
ATHOL SVG BK,203,3.53975177865552e-06
HARTFORD FUNDING LTD,201,3.504877376895367e-06
EASTMAN CU,200,3.4874401760152905e-06
DEPARTMENT OF CMRC FCU,196,3.417691372494985e-06
FIRST ST BK,196,3.417691372494985e-06
ARVEST BK,191,3.3305053680946027e-06
FOUR POINTS FCU,189,3.29563096633445e-06
TRIUMPH BK,179,3.121258957533685e-06
ADAMS CMNTY BK,175,3.0515101540133794e-06
CITIZENS NB OF GREATER STL,168,2.929449747852844e-06
HERRING BK,162,2.8248265425723855e-06
MEADOWBROOK FINANCIAL MORTGAGE,161,2.807389341692309e-06
STATE DEPT FCU,161,2.807389341692309e-06
"FINANCE OF AMERICA REVERSE, LL",155,2.70276613641185e-06
THRIVENT FCU,155,2.70276613641185e-06
GERMAN AMER BC,152,2.6504545337716208e-06
"LIMA ONE CAPITAL, LLC",147,2.5632685293712386e-06
XCEED FNCL CU,145,2.5283941276110858e-06
INOVA FCU,144,2.5109569267310093e-06
HINGHAM FCU,141,2.45864532409078e-06
BLACKSTONE RIVER FCU,140,2.4412081232107036e-06
GSF MORTGAGE CORP,138,2.4063337214505504e-06
GENERATIONS BK,137,2.388896520570474e-06
SEAPORT CU,127,2.2145245117697097e-06
WORCESTER CU,110,1.91809209680841e-06
VANDYK MORTGAGE CORPORATION,105,1.8309060924080276e-06
BCB CMNTY BK,100,1.7437200880076453e-06
TEWKSBURY FCU,100,1.7437200880076453e-06
TRANSPORTATION FCU,85,1.4821620748064984e-06
FRB FCU,80,1.3949760704061163e-06
FIRST MW BK,56,9.764832492842814e-07
NOTRE DAME COMMUNITY FCU,47,8.195484413635932e-07
GRAFTON SUBURBAN CU,43,7.497996378432874e-07
DEERE EMPL CU,36,6.277392316827523e-07
NORTHEAST CU,30,5.231160264022936e-07
CORNING FCU,30,5.231160264022936e-07
PREMIER SOURCE CU,25,4.359300220019113e-07
FEDEX EMPL CA FCU,23,4.010556202417584e-07
SAINT MARYS BK CU,21,3.661812184816055e-07
SAUGUSBANK A CO-OP BK,18,3.1386961584137617e-07
CITIZENS ST BK,4,6.974880352030581e-08
HOMESTAR BK & FS,2,3.487440176015291e-08
