panel_name,loan_amount,expectedshare
"OCWEN LOAN SERVICING, LLC",290449,0.005064617558417326
METRO CU,273332,0.004766144990953057
"POLI MORTGAGE GROUP, INC",270873,0.004723266913988949
PRIMELENDING A PLAINSCAPITAL C,267343,0.004661713594882279
CAMBRIDGE SVG BK,262278,0.004573394172424692
"CITIZENS BK, NA",259381,0.00452287860147511
"WILLIAM RAVEIS MORTGAGE, LLC",250155,0.0043620029861555255
NE MOVES MORTGAGE,248443,0.0043321504982488344
T D BK NA,247635,0.004318061239937733
ROCKLAND FCU,239972,0.004184439969593706
MORGAN STANLEY PRIV BK NA,237837,0.004147211545714743
EVERBANK,236350,0.004121282428006069
FIRST HOME MORTGAGE CORPORATIO,232676,0.004057218151972668
MIDDLESEX SVG BK,228128,0.003977913762370081
"WALKER & DUNLOP, LLC",227477,0.003966562144597151
FREEDOM MORTGAGE CORPORATION,226610,0.003951444091434125
U S BK NA,223141,0.00389095444158114
BNY MELLON NA,218517,0.0038103248247116665
DITECH FINANCIAL LLC,211622,0.003690095324643539
MEETINGHOUSE BK,208993,0.0036442529235298183
BRIDGEWATER SVG BK,202556,0.0035320096614647662
"COMMONWEALTH MORTGAGE, LLC",200266,0.003492078471449391
MOUNTAINONE BK,198984,0.003469723979921133
FIRST FSB OF BOSTON,191230,0.00333451592429702
NEW FED MORTGAGE CORP,189580,0.003305744542844894
"MORTGAGE FINANCIAL SERVICES,IN",188891,0.003293730311438521
CAMBRIDGE TC,187600,0.0032712188851023428
NORWOOD CO-OP BK,182540,0.0031829866486491557
FRANKLIN AMERICAN MORTGAGE CO,171669,0.0029934268378818446
SIERRA PACIFIC MORTGAGE,167640,0.0029231723555360168
QUINCY CU,166665,0.002906171084677942
MANUFACTURERS & TRADERS TC,162405,0.0028318886089288165
FIRST NIAGARA BK NA,158891,0.0027706142850362275
VILLAGE BK,157801,0.0027516077360769443
CAPE COD FIVE CENTS SVG BK,157368,0.002744057428095871
COOPERATIVE BK,151688,0.002645014127097037
EAST CAMBRIDGE SVG BK,150679,0.0026274199914090397
NATIONSTAR MORTGAGE LLC,149675,0.002609913041725443
USAA FSB,148350,0.002586808750559342
PACIFIC UNION FINANCIAL LLC,147927,0.0025794328145870697
JEANNE D'ARC CU,147701,0.0025754920071881723
KEYBANK NA,147552,0.0025728938642570406
WALPOLE CO-OP BK,147198,0.0025667210951454936
"EMBRACE HOME LOANS, INC.",145382,0.002535055138347275
NEW PENN FINANCIAL LLC,139600,0.002434233242858673
PHH HOME LOANS LLC,138027,0.0024068045258743126
"PLAZA HOME MORTGAGE, INC.",137626,0.002399812208321402
PATRIOT COMNTY BK,134954,0.0023532200075698376
SHARON CU,131897,0.002299914484479444
CITY OF BOSTON CU,120561,0.002102246375302897
CAMBRIDGE MTG GRP,119163,0.0020778691684725506
HARVARD UNIV EMPL CU,114807,0.0020019127214389375
MUTUAL BK,114561,0.0019976231700224384
INSTITUTION SVG IN NEWBURYPORT,114247,0.0019921478889460944
"MEMBERS MORTGAGE COMPANY, INC.",112948,0.001969496965002875
"CALIBER HOME LOANS, INC.",112904,0.001968729728164152
FLAGSTAR BK FSB,112583,0.0019631323866816475
SOUTH SHORE BK,112487,0.00196145841539716
"PROVIDENT FUNDING ASSOCIATES,",110154,0.0019207774257439417
DIRECT FED CU,109362,0.001906967162646921
BERKELEY POINT CAPITAL,108784,0.0018968884605382369
BRISTOL CTY SVG BK,108609,0.0018938369503842234
CAMDEN NB,102558,0.0017883244478588808
GMH MORTGAGE SERVICES LLC,102144,0.0017811054466945293
NEW YORK CMNTY BK,101852,0.0017760137840375468
DEAN CO-OP BK,101635,0.0017722299114465703
MB FNCL BK NA,101261,0.0017657083983174217
HOME POINT FINANCIAL CORP,99808,0.0017403721454386707
VILLAGE MORTGAGE COMPANY,99753,0.0017394130993902664
CENTURY B&TC,97810,0.0017055326180802778
